type,wavelen,m_Rrs,sd_Rrs,lo_Rrs,up_Rrs,m_nRrs,sd_nRrs,lo_nRrs,up_nRrs
2,574,0.0012620026370000015,0.0010043619875340283,0.0004674555,0.003134148999999997,0.002058362211776651,0.0005789764785179867,0.0010428527303895953,0.002927502447878049
2,576,0.0011887513909999996,0.0009503427310282609,0.000438149,0.002967215999999999,0.0019369180857453415,0.0005507682441680081,0.0009749876570280813,0.0027687079109983133
2,578,0.001110227688999999,0.0008913978342150639,0.00040737849999999997,0.0027823144999999994,0.0018072810595862556,0.000519605451234332,0.000902736660953867,0.002597790764305985
2,580,0.001027728589000003,0.0008285466162534146,0.00037579899999999996,0.002588072499999999,0.0016715470284036052,0.00048595615198506755,0.0008298205011194048,0.002414458049772927
2,582,0.0009443085149999987,0.0007642405848138574,0.00034396599999999997,0.0023837714999999995,0.0015346498281074302,0.00045108201058289107,0.0007566444917694995,0.0022261535905669515
2,584,0.0008632485510000008,0.0007011980740404315,0.000313478,0.002184075999999999,0.0014018407535079588,0.00041651505602141765,0.0006878822034776719,0.002045728871423108
2,586,0.0007875129869999953,0.0006418381244574293,0.00028494,0.001996732999999999,0.0012778952001904161,0.0003836056445161562,0.0006229814460413864,0.001874434744638698
2,588,0.0007146645789999993,0.0005842645387611698,0.000257429,0.001817446,0.0011588044236814465,0.0003512566763186729,0.000561149895915802,0.001708187153165431
2,590,0.0006422084420000029,0.0005264662402922846,0.000230277,0.0016357474999999992,0.0010405824588326648,0.0003183842621849319,0.0005008958010557984,0.0015412472674529204
2,592,0.0005772322730000002,0.00047445106315075706,0.0002059985,0.001471117499999998,0.0009346235564814954,0.00028856539011634966,0.00044794345530175053,0.001391875794290798
2,594,0.0005152525790000006,0.0004245356672071496,0.0001829575,0.0013183359999999998,0.000833694725794098,0.00025970316890423464,0.0003969865917899401,0.0012474796313422698
2,596,0.0004630837259999988,0.0003825048420283021,0.0001637085,0.0011854324999999982,0.0007487422191803063,0.00023528513824743995,0.00035480290401718103,0.0011239648168288583
2,598,0.0004189734199999979,0.0003469898311618702,0.000147468,0.0010775424999999981,0.000676905871244935,0.00021458490365159355,0.00031904737061549276,0.001020970250542304
2,600,0.00038344873699999894,0.0003184763757219912,0.00013428949999999998,0.0009880109999999998,0.0006189914971896948,0.00019791490550722965,0.00029072381451493965,0.0009381772440342491
2,602,0.00035781359399999964,0.0002981115459475589,0.0001246295,0.0009259719999999992,0.0005770600577207669,0.0001860175211769202,0.00026965083944287504,0.0008776835181310069
2,604,0.0003384013199999994,0.00028284346961918313,0.00011711950000000001,0.000879633999999999,0.0005451779473864772,0.00017706440210553986,0.0002532459073371599,0.0008315382768079093
2,606,0.00032710465500000166,0.00027431263032904756,0.00011238,0.0008535229999999997,0.0005263676199096754,0.00017211013200672465,0.00024333355396938443,0.000805561516678659
2,608,0.0003196656249999999,0.0002689515556559754,0.000109059,0.0008367884999999997,0.0005137646997833068,0.0001689904472208432,0.00023607638554120575,0.0007882515686249481
